,borough,type,site_name,borough_name,latitude,longitude
78,Westminster,Archives,ChurchCare Library,City of Westminster,51.49793800341778,-0.12932604623988445
79,Westminster,Archives,The Society of The Faith,City of Westminster,51.49757120663144,-0.12831814966762414
80,Westminster,Archives,Westminster Abbey Library and Muniment Room,City of Westminster,51.49900429937552,-0.1273949466888223
81,Westminster,Archives,Catholic Bishops' Conference of England and Wales,City of Westminster,51.49106650779243,-0.14476553212193907
82,Westminster,Archives,Catholic Education Service,City of Westminster,51.49106650779243,-0.14476553212193907
83,Westminster,Archives,Green Alliance,City of Westminster,51.4926924229864,-0.14216035339208166
84,Westminster,Archives,Royal Society for Asian Affairs,City of Westminster,51.49372918292296,-0.14801027879298884
85,Westminster,Archives,Society of Motor Manufacturers and Traders Ltd,City of Westminster,51.501086967054036,-0.15268278480037367
86,Westminster,Archives,Royal Anglo-Belgian Club,City of Westminster,51.502471954452616,-0.15898104704719634
87,Westminster,Archives,British-German Association,City of Westminster,51.49860148459712,-0.1518900561177108
88,Westminster,Archives,Great Britain - China Centre,City of Westminster,51.498608006836996,-0.15516032346511782
89,Westminster,Archives,"Institute of Materials, Minerals and Mining",City of Westminster,51.50569128768765,-0.1333745657723297
90,Westminster,Archives,Plastics Historical Society,City of Westminster,51.50569128768765,-0.1333745657723297
91,Westminster,Archives,Institute of Directors,City of Westminster,51.50719177054478,-0.1315983771588248
92,Westminster,Archives,British Academy,City of Westminster,51.506349797857574,-0.1312437649257885
93,Westminster,Archives,Town and Country Planning Association,City of Westminster,51.50671003304889,-0.13014825175915012
94,Westminster,Archives,Civic Trust,City of Westminster,51.50671003304889,-0.13014825175915012
95,Westminster,Archives,Federation of British Artists,City of Westminster,51.50671003304889,-0.13014825175915012
96,Westminster,Archives,Athenaeum,City of Westminster,51.506840737964794,-0.13270792416609495
97,Westminster,Archives,Royal Automobile Club,City of Westminster,51.50592661925997,-0.13516618920938284
98,Westminster,Archives,Commonwealth Secretariat,City of Westminster,51.50514790566004,-0.13596171376932
99,Westminster,Archives,Institute of Contemporary Arts,City of Westminster,51.50638922513244,-0.13089630811381464
100,Westminster,Archives,Royal Albert Hall Archive,City of Westminster,51.50126863054021,-0.17751558951229515
101,Westminster,Archives,Royal College of Music,City of Westminster,51.4992805026968,-0.17688895613384226
102,Westminster,Archives,Royal College of Art,City of Westminster,51.50135506707765,-0.17844868818492954
103,Westminster,Archives,English National Ballet Archives,City of Westminster,51.500746850537205,-0.17866025955838266
104,Westminster,Archives,"London University: London School of Economics Library, Archives and Special Collections",City of Westminster,51.5148361773884,-0.11589257969472805
105,Westminster,Archives,Royal College of Surgeons of England,City of Westminster,51.51528551722337,-0.11587402987700955
106,Westminster,Archives,Food and Drink Federation,City of Westminster,51.512708328609705,-0.12003022046084265
107,Westminster,Archives,Duchy of Lancaster Office,City of Westminster,51.51013113412461,-0.11857994146784362
108,Westminster,Archives,National Portrait Gallery,City of Westminster,51.50939879797791,-0.1284528930602623
109,Westminster,Archives,British Actors' Equity Association,City of Westminster,51.51208035128745,-0.12799705413280196
110,Westminster,Archives,National Gallery Research Centre,City of Westminster,51.50909834771782,-0.1276581967511762
111,Westminster,Archives,Institution of Engineering and Technology (IET) Archives,City of Westminster,51.51028947288288,-0.11948133147538492
112,Westminster,Archives,Institution of Incorporated Engineers,City of Westminster,51.51028947288288,-0.11948133147538492
113,Westminster,Archives,Savoy Archives,City of Westminster,51.509945451203954,-0.11989901927149747
114,Westminster,Archives,Coutts & Co,City of Westminster,51.50910072266689,-0.12499206772131695
115,Westminster,Archives,London University: Courtauld Institute of Art,City of Westminster,51.51102034296919,-0.11795241539614257
116,Westminster,Archives,Royal Society of Literature,City of Westminster,51.51102034296919,-0.11795241539614257
117,Westminster,Archives,Wigmore Hall,City of Westminster,51.51665556172999,-0.1482619144907009
118,Westminster,Archives,British Veterinary Association,City of Westminster,51.519015371347635,-0.1462202523946642
119,Westminster,Archives,Royal College of Midwives Archives,City of Westminster,51.51936074427267,-0.14645126244090825
120,Westminster,Archives,Howard de Walden Estates Ltd,City of Westminster,51.51794831946093,-0.14698428753176918
121,Westminster,Archives,Palestine Exploration Fund,City of Westminster,51.51676903942495,-0.15089495526978938
122,Westminster,Archives,Alfred Dunhill Museum and Archive,City of Westminster,51.51639839861843,-0.15134237107349216
123,Westminster,Archives,British Dental Association Museum,City of Westminster,51.518576600454814,-0.1486163768024468
124,Westminster,Archives,Archives of the Royal Philatelic Society London,City of Westminster,51.52147741939274,-0.15008430589448454
125,Westminster,Archives,Institute of Physics,City of Westminster,51.521688343705776,-0.14521792847355752
126,Westminster,Archives,Nursing and Midwifery Council,City of Westminster,51.51956538046323,-0.14517449596731352
127,Westminster,Archives,Medical Research Council,City of Westminster,51.52278226406394,-0.14729250089574675
128,Westminster,Archives,British Institute of Radiology,City of Westminster,51.520013461857204,-0.14450763402661218
129,Westminster,Archives,Landscape Institute,City of Westminster,51.516900581497815,-0.14157856153588752
130,Westminster,Archives,Performing Right Society Archives,City of Westminster,51.51840360148285,-0.13712111197153207
131,Westminster,Archives,Royal Astronomical Society Library,City of Westminster,51.5090991372308,-0.13957603713012082
132,Westminster,Archives,Society of Antiquaries of London,City of Westminster,51.5090991372308,-0.13957603713012082
133,Westminster,Archives,Royal Academy of Arts,City of Westminster,51.5090991372308,-0.13957603713012082
134,Westminster,Archives,Geologists Association,City of Westminster,51.5090991372308,-0.13957603713012082
135,Westminster,Archives,Royal Society of Chemistry,City of Westminster,51.5090991372308,-0.13957603713012082
136,Westminster,Archives,Linnean Society of London,City of Westminster,51.5090991372308,-0.13957603713012082
137,Westminster,Archives,Geological Society of London,City of Westminster,51.5090991372308,-0.13957603713012082
138,Westminster,Archives,British Board of Film Classification,City of Westminster,51.515337409818706,-0.13318182784314514
139,Westminster,Archives,Agnew's,City of Westminster,51.510053190272465,-0.14360112723070628
140,Westminster,Archives,English-Speaking Union of the Commonwealth,City of Westminster,51.50786440879925,-0.14678841159737666
141,Westminster,Archives,Arab-British Chamber of Commerce,City of Westminster,51.51042165416383,-0.1532705780557122
142,Westminster,Archives,Handel House Trust,City of Westminster,51.51296727760172,-0.14590384500916498
143,Westminster,Archives,Gimpel Fils,City of Westminster,51.51195323708745,-0.1477465199075331
144,Westminster,Archives,Institute of Brewing & Distilling,City of Westminster,51.50689961155202,-0.1454874247040248
145,Westminster,Archives,Electrical Contractors' Association,City of Westminster,51.51178124868167,-0.1920552186918716
146,Westminster,Archives,National Campaign for Nursery Education,City of Westminster,51.48659593937908,-0.13257032243373038
147,Westminster,Archives,British Retail Consortium,City of Westminster,51.50031566798271,-0.13180771408978004
148,Westminster,Archives,Chartered Institute of Public Finance and Accountancy,City of Westminster,51.50874886581322,-0.12267195849128194
149,Westminster,Archives,British Council,City of Westminster,51.50699994090412,-0.12971847784576762
150,Westminster,Archives,Imperial College Healthcare NHS Trust Archives,City of Westminster,51.51697101691523,-0.17354464103875786
151,Westminster,Archives,Alexander Fleming Laboratory Museum,City of Westminster,51.51697101691523,-0.17354464103875786
152,Westminster,Archives,Anthroposophical Society in Great Britain,City of Westminster,51.52489743109743,-0.1605557434657712
153,Westminster,Archives,JCA Charitable Foundation,City of Westminster,51.49684900215478,-0.14249307136511982
154,Westminster,Artists workspaces,,City of Westminster,51.49942722944472,-0.14097867703610165
155,Westminster,Artists workspaces,Somerset House Studios,City of Westminster,51.51102034296919,-0.11795241539614257
156,Westminster,Artists workspaces,,City of Westminster,51.516118688169534,-0.16387872317396654
157,Westminster,Artists workspaces,,City of Westminster,51.521199080373705,-0.1963091728548084
158,Westminster,Artists workspaces,,City of Westminster,51.529545946763726,-0.19876166322208025
159,Westminster,Arts centres,ICA,City of Westminster,51.50671003304889,-0.13014825175915012
160,Westminster,Cinemas,Curzon Victoria,City of Westminster,51.49771545323764,-0.1368125895401744
161,Westminster,Cinemas,Imperial College Union Cinema,City of Westminster,51.500277973932754,-0.17815075941996605
162,Westminster,Cinemas,Curzon Mayfair,City of Westminster,51.50659042419093,-0.14754622596183026
163,Westminster,Cinemas,ICA,City of Westminster,51.50641041249607,-0.13109718060684086
164,Westminster,Cinemas,Empire Cinema Haymarket,City of Westminster,51.50875842588974,-0.13228361517456536
165,Westminster,Cinemas,Vue Piccadilly,City of Westminster,51.508946038707315,-0.13446639859052645
166,Westminster,Cinemas,Odeon Luxe Haymarket,City of Westminster,51.5095152398358,-0.13124387156828907
167,Westminster,Cinemas,Odeon Panton Street,City of Westminster,51.5095152398358,-0.13124387156828907
168,Westminster,Cinemas,Picturehouse Central,City of Westminster,51.510873915973185,-0.13355173608333049
169,Westminster,Cinemas,Empire Leicester Square,City of Westminster,51.51086930933712,-0.13043903475199176
170,Westminster,Cinemas,Ham Yard Hotel,City of Westminster,51.511163531263094,-0.13457810651833316
171,Westminster,Cinemas,Prince Charles Cinema,City of Westminster,51.511495175711794,-0.13021163514193926
172,Westminster,Cinemas,Empire Cinemas Walthamstow,City of Westminster,51.51152033109956,-0.12953325312020852
173,Westminster,Cinemas,Vue Leicester Square,City of Westminster,51.51152033109956,-0.12953325312020852
174,Westminster,Cinemas,Curzon Soho,City of Westminster,51.512794104236924,-0.13046107725955713
175,Westminster,Cinemas,Odeon The Lounge,City of Westminster,51.51458040366161,-0.18871590826672446
176,Westminster,Cinemas,Odeon Whiteleys,City of Westminster,51.51458040366161,-0.18871590826672446
177,Westminster,Cinemas,Soho Hotel,City of Westminster,51.51393266071949,-0.13362842352180448
178,Westminster,Cinemas,Regent Street Cinema,City of Westminster,51.516793607095366,-0.14334134914285693
179,Westminster,Cinemas,Charlotte Street Hotel,City of Westminster,51.518388387772596,-0.13503171619207033
180,Westminster,Cinemas,Everyman Baker Street,City of Westminster,51.520553823560036,-0.15653622482814644
181,Westminster,Cinemas,Everyman Maida Vale,City of Westminster,51.52798819310086,-0.18172482089476746
182,Westminster,Commercial galleries,Richard Green 2,City of Westminster,51.51174868489209,-0.14362440125332573
183,Westminster,Commercial galleries,Skarstedt Gallery,City of Westminster,51.50711911725937,-0.14060781324446567
184,Westminster,Commercial galleries,Scream,City of Westminster,51.516717359455875,-0.13853038813073773
185,Westminster,Commercial galleries,Ben Brown Fine Arts,City of Westminster,51.51240246801626,-0.1460132598946329
186,Westminster,Commercial galleries,Marlborough Fine Art,City of Westminster,51.50856181680288,-0.14085167375522178
187,Westminster,Commercial galleries,Messum's,City of Westminster,51.5104770846591,-0.14140776488678125
188,Westminster,Commercial galleries,Serpentine Gallery,City of Westminster,51.5047903535116,-0.17498302203868382
189,Westminster,Commercial galleries,Frith Street Gallery,City of Westminster,51.51119847307912,-0.13699725550492645
190,Westminster,Commercial galleries,Sprovieri,City of Westminster,51.51112735891863,-0.1398824792385247
191,Westminster,Commercial galleries,Berloni,City of Westminster,51.51664592065968,-0.1402629033868067
192,Westminster,Commercial galleries,Chelsea Space,City of Westminster,51.49043866366581,-0.1282358353968019
193,Westminster,Commercial galleries,Olivier Malingue,City of Westminster,51.51149907602449,-0.14404672802917778
194,Westminster,Commercial galleries,Richard Green 1,City of Westminster,51.51131637486581,-0.14386680563275972
195,Westminster,Commercial galleries,Photographers' Gallery,City of Westminster,51.51492660926425,-0.13902140246981787
196,Westminster,Commercial galleries,The Aram Gallery,City of Westminster,51.51334635691411,-0.1188797771629647
197,Westminster,Commercial galleries,White Cube,City of Westminster,51.507612932377825,-0.13715800093601202
198,Westminster,Commercial galleries,Willow Gallery,City of Westminster,51.50734985328702,-0.1379822047443762
199,Westminster,Commercial galleries,Blain Southern,City of Westminster,51.51385680532657,-0.14301403972769974
200,Westminster,Commercial galleries,Albemarle Gallery,City of Westminster,51.50802785196443,-0.14120486534937193
201,Westminster,Commercial galleries,Queen's Gallery,City of Westminster,51.49971659414313,-0.142782302975588
202,Westminster,Commercial galleries,Rosenfeld Porcini,City of Westminster,51.518520557312854,-0.1359920485761106
203,Westminster,Commercial galleries,Lisson Gallery 1,City of Westminster,51.521086206482046,-0.16813296540631162
204,Westminster,Commercial galleries,London Print Studio,City of Westminster,51.5256832855009,-0.20548790662228286
205,Westminster,Commercial galleries,Eykyn Maclean,City of Westminster,51.51238714947289,-0.14277118402695052
206,Westminster,Commercial galleries,Laurent Delaye Gallery,City of Westminster,51.51096719340946,-0.1399898873689699
207,Westminster,Commercial galleries,Pyms Gallery,City of Westminster,51.51031931485576,-0.1484901565295932
208,Westminster,Commercial galleries,Imitate Modern,City of Westminster,51.506435031074275,-0.1468176160543667
209,Westminster,Commercial galleries,Debut Contemporary,City of Westminster,51.51536058285332,-0.1932394001317131
210,Westminster,Commercial galleries,Mark Gallery,City of Westminster,51.514876534846394,-0.16552851175341785
211,Westminster,Commercial galleries,Halcyon Gallery I,City of Westminster,51.511399080405205,-0.1439787357237954
212,Westminster,Commercial galleries,PM/AM,City of Westminster,51.51823211409174,-0.16676292431041506
213,Westminster,Commercial galleries,Graham Hunter Gallery,City of Westminster,51.51994836830315,-0.1569210450390831
214,Westminster,Commercial galleries,Sims Reed Gallery,City of Westminster,51.50689267564307,-0.13878750961873765
215,Westminster,Commercial galleries,Getty Images Gallery,City of Westminster,51.5163133328204,-0.13913781148573098
216,Westminster,Commercial galleries,Sadie Coles HQ,City of Westminster,51.51231050871011,-0.1390704254148747
217,Westminster,Commercial galleries,Waddington Custot Galleries,City of Westminster,51.51011135964574,-0.14159559208676226
218,Westminster,Commercial galleries,Heartbreak,City of Westminster,51.51763337698449,-0.15096082464258487
219,Westminster,Commercial galleries,Bernard Jacobson Gallery,City of Westminster,51.51054820751197,-0.14192367983561355
220,Westminster,Commercial galleries,St Petersburg Gallery,City of Westminster,51.51054820751197,-0.14192367983561355
221,Westminster,Commercial galleries,Michael Werner Gallery,City of Westminster,51.51135600229848,-0.15607186583340749
222,Westminster,Commercial galleries,Workplace Gallery,City of Westminster,51.51268977540435,-0.14087088541766682
223,Westminster,Commercial galleries,Paradise Row,City of Westminster,51.51762902437511,-0.13591315539094295
224,Westminster,Commercial galleries,Edel Assanti,City of Westminster,51.51762902437511,-0.13591315539094295
225,Westminster,Commercial galleries,Rook & Raven,City of Westminster,51.516828084274856,-0.13304877896770814
226,Westminster,Commercial galleries,Partners & Mucciaccia,City of Westminster,51.50785746956722,-0.14180263659440753
227,Westminster,Commercial galleries,James Hyman Fine Art,City of Westminster,51.51060474810336,-0.1398173084738624
228,Westminster,Commercial galleries,Hauser & Wirth 2,City of Westminster,51.511996185644506,-0.14079825448309974
229,Westminster,Commercial galleries,Great Western Studios,City of Westminster,51.521199081443996,-0.1963091710524648
230,Westminster,Commercial galleries,Aktis Gallery,City of Westminster,51.5062544006683,-0.13995135070297635
231,Westminster,Commercial galleries,Chris Beetles Photographs,City of Westminster,51.50919944963192,-0.13740856798446052
232,Westminster,Commercial galleries,Courtauld Institute of Art,City of Westminster,51.51092608537004,-0.1176824806016359
233,Westminster,Commercial galleries,"Pertwee,  Anderson & Gold",City of Westminster,51.513964574382754,-0.13224351878852833
234,Westminster,Commercial galleries,David Gill,City of Westminster,51.5067728054395,-0.13691848968022813
235,Westminster,Commercial galleries,Whitfield Fine Art,City of Westminster,51.51425615935236,-0.1455199919305717
236,Westminster,Commercial galleries,Thomas Dane Gallery,City of Westminster,51.5073223111225,-0.13754453113296622
237,Westminster,Commercial galleries,Victoria Miro Gallery II,City of Westminster,51.512895565662426,-0.14364404875851955
238,Westminster,Commercial galleries,Alison Jacques Gallery,City of Westminster,51.517477330489406,-0.13655355063816169
239,Westminster,Commercial galleries,Fold,City of Westminster,51.520535727928454,-0.13944129812695416
240,Westminster,Commercial galleries,Annely Juda Fine Art,City of Westminster,51.51425615935236,-0.1455199919305717
241,Westminster,Commercial galleries,Gagosian Gallery 2,City of Westminster,51.51105386177953,-0.14773978151561148
242,Westminster,Commercial galleries,Pace London 1,City of Westminster,51.50966523404458,-0.14011499703420108
243,Westminster,Commercial galleries,Asia House,City of Westminster,51.51970782107731,-0.14622094756222018
244,Westminster,Commercial galleries,Lisson Gallery 2,City of Westminster,51.52090311546865,-0.16965385264529714
245,Westminster,Commercial galleries,Rossi & Rossi,City of Westminster,51.506801687003076,-0.13817100202659546
246,Westminster,Commercial galleries,Fiumano Fine Art,City of Westminster,51.514435269593285,-0.16548859878225505
247,Westminster,Commercial galleries,Ambika P3,City of Westminster,51.52202474834277,-0.15457401200870202
248,Westminster,Commercial galleries,The Sherlock Holmes Museum,City of Westminster,51.52375095151534,-0.15855495887429094
249,Westminster,Commercial galleries,John Adams Fine Art,City of Westminster,51.49096853556634,-0.15314960293281865
250,Westminster,Commercial galleries,Eleven,City of Westminster,51.494340297330645,-0.14798549815056233
251,Westminster,Commercial galleries,The Osborne Studio Gallery,City of Westminster,51.49920604153212,-0.1565913514765248
252,Westminster,Commercial galleries,La Galleria,City of Westminster,51.50769985305442,-0.13188020071913506
253,Westminster,Commercial galleries,GRAD,City of Westminster,51.517434402995065,-0.1406487639292005
254,Westminster,Commercial galleries,Stephen Wiltshire Gallery,City of Westminster,51.507698508597535,-0.1320724925855282
255,Westminster,Commercial galleries,Panter and Hall,City of Westminster,51.50712873029319,-0.1332869663525841
256,Westminster,Commercial galleries,Alan Cristea Gallery,City of Westminster,51.50608666251893,-0.1361827611487653
257,Westminster,Commercial galleries,Institute of Contemporary Arts - ICA,City of Westminster,51.50641041249607,-0.13109718060684086
258,Westminster,Commercial galleries,Malcolm Fairley,City of Westminster,51.506370315880226,-0.13818859516377568
259,Westminster,Commercial galleries,Paisnel Gallery,City of Westminster,51.50675652391479,-0.13815843376204334
260,Westminster,Commercial galleries,Sladmore,City of Westminster,51.50775849069671,-0.13952980054878805
261,Westminster,Commercial galleries,Chris Beetles,City of Westminster,51.50712681547932,-0.13825861402865558
262,Westminster,Commercial galleries,Two Temple Place,City of Westminster,51.511602712418444,-0.11222134266036944
263,Westminster,Commercial galleries,Atlas Gallery,City of Westminster,51.519501073610954,-0.15535354890919745
264,Westminster,Commercial galleries,Fashion Space Gallery,City of Westminster,51.51564145841103,-0.14327291981744844
265,Westminster,Commercial galleries,Hay Hill Gallery,City of Westminster,51.517952477299715,-0.15588185818747596
266,Westminster,Commercial galleries,A&D Gallery,City of Westminster,51.51997337906728,-0.1556515708958889
267,Westminster,Commercial galleries,Hellenic Centre,City of Westminster,51.520956726103385,-0.15356493805296453
268,Westminster,Commercial galleries,RIBA Architecture Gallery,City of Westminster,51.521322717642974,-0.14484359003624678
269,Westminster,Commercial galleries,Pi Artworks,City of Westminster,51.51641393396778,-0.13811036695088774
270,Westminster,Commercial galleries,Pilar Corrias,City of Westminster,51.51640631884335,-0.1381971572673221
271,Westminster,Commercial galleries,Art First,City of Westminster,51.516816286049874,-0.13796423022155682
272,Westminster,Commercial galleries,Nancy Victor,City of Westminster,51.51880052412247,-0.1360670966588448
273,Westminster,Commercial galleries,Gallery Libby Sellers,City of Westminster,51.518214125061185,-0.1376477433813757
274,Westminster,Commercial galleries,Ronchini Gallery,City of Westminster,51.51425615935236,-0.1455199919305717
275,Westminster,Commercial galleries,Hauser & Wirth 1,City of Westminster,51.508747796556094,-0.13727020714655566
276,Westminster,Commercial galleries,Anthony Reynolds Gallery,City of Westminster,51.51460077749412,-0.1371898633472427
277,Westminster,Commercial galleries,Flowers Gallery Central,City of Westminster,51.510138406647066,-0.14103245062699551
278,Westminster,Commercial galleries,Erskine Hall & Coe,City of Westminster,51.50907832090396,-0.1416664723717086
279,Westminster,Commercial galleries,David Zwimer,City of Westminster,51.50947721228,-0.14300487411736268
280,Westminster,Commercial galleries,Colnaghi,City of Westminster,51.50906097445985,-0.1405719464154215
281,Westminster,Commercial galleries,Gazelli Art House,City of Westminster,51.508325383318116,-0.14238883919180434
282,Westminster,Commercial galleries,SprÃ¼th Magers,City of Westminster,51.509992562194995,-0.14374770362562664
283,Westminster,Commercial galleries,D-Contemporary,City of Westminster,51.50954103276214,-0.14305992211012375
284,Westminster,Commercial galleries,Erarta Galleries,City of Westminster,51.507907331409825,-0.14267965244496958
285,Westminster,Commercial galleries,Sladmore Contemporary,City of Westminster,51.511057601692436,-0.1451311357707964
286,Westminster,Commercial galleries,Lefevre Fine Art,City of Westminster,51.51063567152681,-0.14517710505899845
287,Westminster,Commercial galleries,Sophia Contemporary,City of Westminster,51.512164254470974,-0.1457346979728961
288,Westminster,Commercial galleries,The Fine Art Society,City of Westminster,51.51127030067688,-0.1437966211056176
289,Westminster,Commercial galleries,Gimpel Fils,City of Westminster,51.511953238157,-0.14774651810444014
290,Westminster,Commercial galleries,Gallery Elena Shchukina,City of Westminster,51.51214754134767,-0.15436810782965682
291,Westminster,Commercial galleries,Sadie Coles Gallery,City of Westminster,51.50856894417743,-0.15154418582219625
292,Westminster,Commercial galleries,Hamiltons Gallery,City of Westminster,51.51063007694193,-0.14994751644059776
293,Westminster,Commercial galleries,Galeries Bartoux,City of Westminster,51.51354722281789,-0.14618294236113097
294,Westminster,Commercial galleries,Salon Contemporary,City of Westminster,51.51536058285332,-0.1932394001317131
295,Westminster,Commercial galleries,Thomas & Paul,City of Westminster,51.5230713462478,-0.18592823363486813
296,Westminster,Commercial galleries,ContiniArtUK,City of Westminster,51.51346497461977,-0.14609980923628868
297,Westminster,Commercial galleries,Max Wigram Gallery,City of Westminster,51.51346497461977,-0.14609980923628868
298,Westminster,Commercial galleries,Timothy Taylor Gallery,City of Westminster,51.51060175307542,-0.14986219596469774
299,Westminster,Commercial galleries,Bischoff/Weiss,City of Westminster,51.50901070819049,-0.14364352248890666
300,Westminster,Community centres,Beethoven Centre,Westminster,51.5310307020572,-0.2088098614015712
301,Westminster,Community centres,The Factory,Westminster,51.523582922681705,-0.1951914318207316
302,Westminster,Community centres,Abbey Community Association : Abbey Community Centre,Westminster,51.49734923484945,-0.12962389921000408
303,Westminster,Community centres,Derry Hall,Westminster,51.52321952859046,-0.17228355146947424
304,Westminster,Community centres,Wharncliffe Gardens Community Hall,Westminster,51.52672418126886,-0.17445164500934726
305,Westminster,Community centres,The Fitzrovia Centre,Westminster,51.520183522760746,-0.13874084694724273
306,Westminster,Community centres,London Chinese Community Centre,Westminster,51.51146712793168,-0.12901661149091134
307,Westminster,Community centres,Portgate Community Hall,Westminster,51.52691573015338,-0.2019938954076136
308,Westminster,Community centres,Warwick Community Hall,Westminster,51.52190822519421,-0.19272065680765474
309,Westminster,Community centres,St Judes Community Hall,Westminster,51.528778265180954,-0.2102967649096588
310,Westminster,Community centres,Pickering Hall,Westminster,51.515393526139796,-0.1854695690405381
311,Westminster,Community centres,Churchill Gardens Residents Hall,Westminster,51.486980785264464,-0.14435146683461045
312,Westminster,Community centres,Village Club,Westminster,51.53377450360678,-0.16861824435460154
313,Westminster,Community centres,Grosvenor Hall,Westminster,51.49313183683599,-0.13019996564632705
314,Westminster,Community centres,The Greenside Community Centre,Westminster,51.525334621149504,-0.1663033780602914
315,Westminster,Community centres,The Hellenic Centre,Westminster,51.520956726103385,-0.15356493805296453
316,Westminster,Community centres,The Grosvenor Waterside,Westminster,51.487247553936825,-0.148143308525947
317,Westminster,Community centres,Westbourne Park Family Centre,Westminster,51.51901554711548,-0.19583333933422173
318,Westminster,Community centres,Paddington Development Trust,Westminster,51.521199081443996,-0.1963091710524648
319,Westminster,Community centres,Open Age Westbourne Hub,Westminster,51.5230659090429,-0.20017073331000204
320,Westminster,Community centres,Jubilee Hall,Westminster,51.51206247418352,-0.12293920414642664
321,Westminster,Community centres,Marylebone Bangladesh Society,Westminster,51.52466486500421,-0.16983449590740765
322,Westminster,Community centres,Cardinal Hume Centre,Westminster,51.4951304742706,-0.13203421864026446
323,Westminster,Community centres,WECH Community Centre (Walterton & Elgin Community homes),Westminster,51.523696015056544,-0.1978682333690897
324,Westminster,Community centres,Neighbourhood Centre (Harrow Road),Westminster,51.5256832855009,-0.20548790662228286
325,Westminster,Community centres,Broadley Gardens Community Space,Westminster,51.52226060176795,-0.1690516221116744
326,Westminster,Community centres,Tachbrook Social Club,Westminster,51.48872269376232,-0.1339815012919897
327,Westminster,Community centres,Dryburgh Community Hall,Westminster,51.49069445094396,-0.1466063417666953
328,Westminster,Community centres,Lydford Tenants and Residents Hall,Westminster,51.52845733023193,-0.2016592069846646
329,Westminster,Community centres,Queens Park Court Community Hall,Westminster,51.52921260095385,-0.21401376329657884
330,Westminster,Community centres,Penfold Community Hub,Westminster,51.52372908085943,-0.17210644131439706
331,Westminster,Community centres,Pimlico Thamesbank Centre,Westminster,51.48652030743565,-0.14594017912466867
332,Westminster,Community centres,Centrepoint Bruce House Foyer,Westminster,51.51392499600422,-0.11963420383049365
333,Westminster,Community centres,The Marylebone Association,Westminster,51.5235701302321,-0.144795453465455
334,Westminster,Creative co-working desk space,Farrells Creative Hub,City of Westminster,51.52347022949005,-0.17338537064358706
335,Westminster,Creative co-working desk space,Sohost,City of Westminster,51.51321755414546,-0.1344647531796807
336,Westminster,Creative workspaces,Somerset House Trust,Westminster,51.51102034403826,-0.11795241359240807
337,Westminster,Creative workspaces,Interim Spaces,Westminster,51.51611868923934,-0.16387872137107865
338,Westminster,Creative workspaces,Great Western Studios,Westminster,51.52373397665848,-0.2015138466986839
339,Westminster,Dance performance venues,Apollo Victoria Theatre,City of Westminster,51.49577575884147,-0.14265442390651825
340,Westminster,Dance performance venues,Canal Cafe Theatre,City of Westminster,51.52103081817106,-0.18423636518372952
341,Westminster,Dance performance venues,Charing Cross Theatre,City of Westminster,51.508088217010574,-0.12409696345269702
342,Westminster,Dance performance venues,Palace Theatre,City of Westminster,51.513086569162425,-0.12962760222082895
343,Westminster,Dance performance venues,ICA,City of Westminster,51.50638922513244,-0.13089630811381464
344,Westminster,Dance performance venues,London Palladium,City of Westminster,51.514537732802665,-0.1400173237240133
345,Westminster,Dance performance venues,Lyceum Theatre,City of Westminster,51.511423675332864,-0.12011195511506464
346,Westminster,Dance performance venues,Noel Coward Theatre,City of Westminster,51.51110956314006,-0.127460404712232
347,Westminster,Dance performance venues,Peacock Theatre,City of Westminster,51.51462705698138,-0.11799105536213672
348,Westminster,Dance performance venues,Piccadilly Theatre,City of Westminster,51.51105578198978,-0.1353745720757855
349,Westminster,Dance performance venues,Playhouse Theatre,City of Westminster,51.50696647949397,-0.1236819298437647
350,Westminster,Dance performance venues,Royal Opera House - The Linbury Studio Theatre and Foyer,City of Westminster,51.51304710589021,-0.1226537045637728
351,Westminster,Dance performance venues,Rudolf Steiner House,City of Westminster,51.52489743109743,-0.1605557434657712
352,Westminster,Dance performance venues,Savoy Theatre,City of Westminster,51.510167841225176,-0.12086982981048652
353,Westminster,Dance performance venues,The Phoenix Artists Club,City of Westminster,51.509599266158936,-0.1286176073655147
354,Westminster,Dance performance venues,The Royal Albert Hall,City of Westminster,51.50126863054021,-0.17751558951229515
355,Westminster,Dance performance venues,Theatre Royal Drury Lane,City of Westminster,51.51287516912527,-0.12034041639956827
356,Westminster,Dance performance venues,The Other Palace,City of Westminster,51.49871015103021,-0.14226133584936454
357,Westminster,Dance performance venues,St John's Smith Square,City of Westminster,51.495905927024616,-0.12708978168890295
358,Westminster,Dance performance venues,Theatre Royal Haymarket,City of Westminster,51.5086345259202,-0.13127992874291025
359,Westminster,Dance performance venues,Church Hall of the Church of the Holy Apostles,City of Westminster,51.488457802647254,-0.14335521293078882
360,Westminster,Dance performance venues,Freed of London,City of Westminster,51.51065608198686,-0.12721960185642112
361,Westminster,Dance performance venues,The Old Selfridges Hotel,City of Westminster,51.51458707028285,-0.15281377383990036
362,Westminster,Dance performance venues,Adelphi Theatre,City of Westminster,51.510102191659634,-0.1229477601778272
363,Westminster,Dance performance venues,Apollo Theatre,City of Westminster,51.511500704272635,-0.1333819899148108
364,Westminster,Dance performance venues,Soho Theatre,City of Westminster,51.51450305314165,-0.13274033925666415
