,artist,title,year,groundtruth,height,width
T00404,Serge Poliakoff,Abstract Composition,1954,O,1159,889
N01672,Ralph Peacock,Ethel,1897,P,1327,740
N03201,James Collinson,The Empty Purse (replica of ‘For Sale’),1857,P,610,492
T07799,Christopher Wood,A Fishing Boat in Dieppe Harbour,1929,O,650,810
N00539,Joseph Mallord William Turner,Venice - Maria della Salute,1844,L,613,921
TW1298,Joseph Mallord William Turner,Neapolitan Fisher Girls Surprised Bathing by Moonlight,1840,O,651,803
T03053,"Frederic, Lord Leighton",Lieder ohne Worte,1861,P,1016,629
T12959,Sandra Gamarra,Page 70,2006,O,1950,1620
N01235,John Constable,East Bergholt House,1809,L,225,686
T01193,Samuel Scott,An Arch of Westminster Bridge,1750,L,1357,1638
T03190,Kenneth Martin,"Chance, Order, Change 6 (Black)",1978,O,911,911
N04916,Solomon J. Solomon,A Family Group: The Artist’s Wife and Children: ‘Papa Painting!’,1905,P,1613,1753
N01510,"Sir John Everett Millais, Bt","Mercy: St Bartholomew’s Day, 1572",1886,O,1841,1308
N05302,James Tissot,Portsmouth Dockyard,1877,O,381,546
N05139,Graham Sutherland OM,Green Tree Form: Interior of Woods,1940,O,787,1079
T00466,André Bauchant,The Funeral Procession of Alexander the Great,1940,L,1140,1949
T00142,L.S. Lowry,A Young Man,1955,P,508,610
T00895,Paul Gauguin,Harvest: Le Pouldu,1890,L,730,921
T00133,Roderic O’Conor,Still Life with Bottles,1892,O,552,464
N05042,Wyndham Lewis,Ezra Pound,1939,P,762,1016
T06665,Richard Dadd,Portrait of a Young Man,1853,P,606,500
N04949,Sir Lawrence Alma-Tadema,A Priestess of Apollo,1888,P,349,298
T02308,"Unknown artist, Britain",Portrait of William Style of Langley,1636,P,2051,1359
N05251,Oskar Kokoschka,Polperro II,1939,L,606,864
N00494,Joseph Mallord William Turner,Dido and Aeneas,1814,L,1460,2372
N04843,Alfred Sisley,The Small Meadows in Spring,1880,L,543,730
T01451,Philip James De Loutherbourg,The Battle of Camperdown,1799,L,1524,2140
N02982,"Unknown artist, Britain",Classical Landscape with Mountains,1720,L,356,457
N05905,Henri Matisse,Notre-Dame,1900,L,460,375
N03706,John Singer Sargent,Mrs Wertheimer,1904,P,1632,1079
T12615,Victor Pasmore,"The Hanging Gardens of Hammersmith, No. 1",1944,L,791,1097
N06074,John Nash,The Cornfield,1918,L,686,762
N03171,Augustus John OM,Woman Smiling,1908,P,2210,1238
T00801,Jean Dubuffet,Spinning Round,1961,O,975,1304
T00893,Malcolm Drummond,Girl with Palmettes,1914,P,498,403
N04469,John Singer Sargent,Mrs Charles Hunter,1898,P,1480,895
N00306,Sir Joshua Reynolds,Self-Portrait,1775,P,737,610
T03876,Joseph Mallord William Turner,Margate,1808,L,900,1205
T06745,Patrick Heron,10-11 July : 1992,1992,O,1981,2743
T00868,Jean Dubuffet,The Exemplary Life of the Soil (Texturology LXIII),1958,O,1295,1619
T04130,David Cox,Rhyl Sands,1854,L,454,630
N01902,John Brett,The British Channel Seen from the Dorsetshire Cliffs,1871,L,1060,2127
T00118,Henry Lamb,Lytton Strachey,1914,O,2445,1784
N01819,John Constable,Stoke-by-Nayland,1810,O,181,264
N01512,James Clarke Hook,Home with the Tide,1880,L,889,1397
T13655,Lynette Yiadom-Boakye,10pm Saturday,2012,P,2000,1300
N00545,Joseph Mallord William Turner,Whalers,1845,L,911,1219
N02701,Joseph Mallord William Turner,"The Lake, Petworth, Sunset; Sample Study",1827,L,635,1397
T01184,William Roberts,Esther Lahr,1925,P,508,406
T03887,Joseph Mallord William Turner,Jessica,1830,P,1220,915
N02666,David Cox,A Windy Day,1850,L,267,359
T00375,Peter Lanyon,Thermal,1960,O,1829,1524
N01276,John Constable,Harwich Lighthouse,1820,L,327,502
T02079,Sir William Coldstream,Reclining Nude,1974,O,1016,1270
N01582,John Pettie,The Vigil,1884,O,1158,1703
N00534,Joseph Mallord William Turner,"St Benedetto, Looking towards Fusina",1843,L,622,927
N01555,Walter Dendy Sadler,Thursday,1880,O,864,1410
T00807,Peter Monamy,Ships in Distress in a Storm,1720,L,765,1064
N06261,Johan Zoffany,The Bradshaw Family,1769,O,1339,1763
T12609,Thomas Gainsborough,Mr and Mrs Carter,1747,P,912,710
N00121,Benjamin West,"Cleombrotus Ordered into Banishment by Leonidas II, King of Sparta",1768,O,1384,1854
N04271,James Tissot,Summer (‘Portrait’),1876,P,914,508
N05690,Richard Eurich,Night Raid on Portsmouth Docks,1941,O,787,1270
N00799,Benjamin West,Mrs Worrell as Hebe,1775,P,1270,1003
N05405,Duncan Grant,Vanessa Bell,1942,P,1016,610
T00500,Edward Bower,Sir John Drake,1646,P,1244,981
N05513,Joseph Mallord William Turner,Landscape with Water,1840,O,1219,1822
T03572,Pablo Picasso,Dish of Pears,1936,O,380,610
T03705,Constant (Constant A. Nieuwenhuys),"After Us, Liberty",1949,O,1395,1066
N00511,Joseph Mallord William Turner,"View of Orvieto, Painted in Rome",1828,L,914,1232
N00369,Joseph Mallord William Turner,"The Prince of Orange, William III, Embarked from Holland, and Landed at Torbay, November 4th, 1688, after a Stormy Passage",1832,L,902,1200
N05906,Georges Rouault,The Italian Woman,1938,P,651,498
N05552,Lucien Pissarro,"Ivy Cottage, Coldharbour: Sun and Snow",1916,O,530,644
N03000,Sir John Lavery,Le Mort du Cygne: Anna Pavlova,1911,P,1981,1467
N02854,Walter Howell Deverell,A Pet,1853,O,838,571
N00795,George Cruikshank,The Worship of Bacchus,1860,O,2360,4060
T06750,John Michael Wright,Portrait of Mrs Salesbury with her Grandchildren Edward and Elizabeth Bagot,1675,P,1295,1336
N05882,Joseph Wright of Derby,"A Moonlight with a Lighthouse, Coast of Tuscany",1789,L,1016,1276
N05461,Graham Bell,Miss Anne Popham,1937,P,762,635
N01635,George Frederic Watts,Death Crowning Innocence,1886,P,1283,800
N02870,Henry Walton,Plucking the Turkey,1776,P,762,635
T04848,Rev. Matthew William Peters,Lydia,1777,P,642,770
T00303,Robert Helman,Candile,1955,O,797,797
T12313,Marlene Dumas,Lucy,2004,P,1103,1303
T00359,Sir Stanley Spencer,The Centurion’s Servant,1914,O,1143,1143
N05612,Gilbert Stuart,Portrait of a Man (Self-portrait?),1782,P,754,635
N01980,Joseph Mallord William Turner,Rough Sea with Wreckage,1840,L,921,1226
T03373,Tilly Kettle,Mrs Yates as Mandane in ‘The Orphan of China’,1765,P,1924,1295
T03883,Joseph Mallord William Turner,"The Lake, Petworth: Sunset, Fighting Bucks",1829,L,620,1460
N01987,Joseph Mallord William Turner,Breakers on a Flat Beach,1835,L,902,1210
T02110,Richard Redgrave,The Emigrant’s Last Sight of Home,1858,L,679,984
N00425,John Rogers Herbert,Sir Thomas More and his Daughter,1844,O,851,1105
T06996,Jan Siberechts,"View of a House and its Estate in Belsize, Middlesex",1696,L,1079,1397
N01589,Alfred Parsons,‘When Nature Painted all Things Gay’,1887,L,1054,1511
N03176,Ambrose McEvoy,The Ear-Ring,1911,P,762,635
T07478,Ellsworth Kelly,Orange Relief with Green,1991,O,2375,2153
T04863,André Derain,Still Life,1938,O,885,1458
T07594,Henry Walton,A Girl Buying a Ballad,1778,O,921,717
N03953,Sir William Rothenstein,The Princess Badroulbadour,1908,O,1410,1194
N04694,Sir Joshua Reynolds,The Hon. Miss Monckton,1777,P,2400,1473
T05500,Raoul Dufy,The Kessler Family on Horseback,1932,O,2195,2673
N05176,"Sir Edward Coley Burne-Jones, Bt",Vespertina Quies,1893,P,1079,622
N05374,Philip Wilson Steer,Southwold,1889,O,505,610
N00409,Sir Edwin Henry Landseer,King Charles Spaniels (‘The Cavalier’s Pets’),1845,O,698,902
N03574,Joseph Highmore,VII: Pamela in the Bedroom with Mrs Jewkes and Mr B.,1743,O,627,757
N04831,Lovis Corinth,The Temptation of St Anthony after Gustave Flaubert,1908,O,1353,2003
T07822,John Constable,"Fen Lane, East Bergholt",1817,L,692,925
N01540,Benjamin Williams Leader,The Valley of the Llugwy,1883,L,1194,2007
N02424,Joseph Mallord William Turner,"The Ponte Delle Torri, Spoleto",1840,L,914,1219
T00746,Gilbert Soest,"Henry Howard, 6th Duke of Norfolk",1670,L,1270,1073
T01772,R.B. Kitaj,The Man of the Woods and the Cat of the Mountains,1973,O,1524,1524
T11862,John Constable,A Cornfield,1817,L,613,510
N01571,John MacWhirter,June in the Austrian Tyrol,1892,L,1260,1871
N01161,William Hogarth,"Lavinia Fenton, Duchess of Bolton",1740,P,737,584
N04232,Félix Vallotton,Road at St Paul (Var),1922,L,806,645
N00133,John Hoppner,William Smith the Actor,1788,P,792,514
N05981,George Lambert,"A View of Box Hill, Surrey",1733,L,908,1804
N00486,Joseph Mallord William Turner,"Ploughing Up Turnips, near Slough (‘Windsor’)",1809,L,1019,1302
N03509,Alvaro Guevara,Dame Edith Sitwell,1916,P,1829,1219
T01895,Johan Zoffany,Mr and Mrs Dalton and their Niece Mary de Heulle,1765,P,908,711
T03365,Gavin Hamilton,Agrippina Landing at Brindisium with the Ashes of Germanicus,1765,O,1825,2560
N02132,Alfred Stevens,John Morris Moore,1840,P,597,476
T13861,Hedda Sterne,"NY, NY No. X",1948,O,835,1185
N01521,Sir William Quiller Orchardson,Her Mother’s Voice,1888,O,1016,1486
T07198,Leon Kossoff,Self-Portrait,1952,P,560,405
T00690,William Hodges,Tomb and Distant View of Rajmahal Hills,1782,L,622,724
T01079,Berthe Morisot,Girl on a Divan,1885,P,610,502
N04088,Gwen John,Chloë Boughton-Leigh,1904,P,584,381
N00471,Joseph Mallord William Turner,Jason,1802,O,902,1197
N03709,John Singer Sargent,"Alfred, Son of Asher Wertheimer",1901,P,1630,1150
T06482,Fiona Rae,Untitled (yellow),1990,O,2133,1981
TW0850,Joseph Mallord William Turner,"Fishermen upon a Lee-Shore, in Squally Weather",1802,L,915,1220
N02280,George Romney,William Pitt the Younger,1783,P,870,660
N01658,James Lambert,Landscape,1769,L,867,1121
T00692,Chaïm Soutine,Landscape at Céret,1920,O,559,838
T03540,Stephen McKenna,An English Oak Tree,1981,L,2000,1500
N04180,John Singer Sargent,The Misses Hunter,1902,P,2292,2299
L02877,Leonora Carrington,Eluhim,1960,O,913,373
N04818,J. McIntosh Patrick,Winter in Angus,1935,L,756,1016
N03967,Alexander Young Jackson,The Entrance to Halifax Harbour,1919,L,648,806
T00461,Victor Vasarely,Nives II,1949,O,1949,1143
N00485,Joseph Mallord William Turner,Abingdon,1806,L,1016,1302
N01513,James Clarke Hook,Young Dreams,1887,L,1060,1422
T03033,"Unknown artist, Britain","Portrait of Anne Wortley, Later Lady Morton",1620,P,2057,1270
N01350,Sir Edwin Henry Landseer,Study of a Lion,1862,O,914,1378
T06786,Maggi Hambling,Portrait of Frances Rose,1973,P,1083,1012
N05462,Pierre Bonnard,Pont de la Concorde,1913,O,600,832
T00671,Sir Roland Penrose,Le Grand Jour,1938,O,762,1010
T01252,Oskar Kokoschka,View of the Thames,1959,L,1096,1396
N01813,John Constable,"Branch Hill Pond, Hampstead Heath, with a Boy Sitting on a Bank",1825,L,333,502
N04484,Sir George Clausen,Brown Eyes,1891,P,559,413
T00659,Euan Uglow,Nude,1962,O,1632,1168
TW0522,Joseph Mallord William Turner,"The Battle of Trafalgar, 21 October 1805",1823,O,2615,3685
N02702,Joseph Mallord William Turner,Shipping at the Mouth of the Thames,1806,L,857,1168
T00795,William Scott,Berlin Blues 4,1965,O,1530,1835
N05255,Ivon Hitchens,Damp Autumn,1941,L,406,743
N03713,John Singer Sargent,"Almina, Daughter of Asher Wertheimer",1908,P,1340,1010
N00886,Sir Joshua Reynolds,Admiral Viscount Keppel,1780,P,1245,991
N01283,Thomas Gainsborough,Wooded Landscape with a Peasant Resting,1747,L,625,781
N05643,John Brett,Glacier of Rosenlaui,1856,L,445,419
N01647,George Frederic Watts and assistants,Chaos,1875,O,1067,3048
N00273,Sir Godfrey Kneller,John Smith the Engraver,1696,P,758,630
T14002,Saloua Raouda Choucair,Composition with Two Ovals,1951,O,500,1850
N00553,Joseph Mallord William Turner,Mercury Sent to Admonish Aeneas,1850,L,902,1206
T00197,Victor Pasmore,The Quiet River: The Thames at Chiswick,1943,L,762,1016
T05854,Michael Ayrton,The Captive Seven,1949,O,1220,1830
T01705,George Stubbs,A Couple of Foxhounds,1792,O,1016,1270
T12260,William Ratcliffe,Hampstead Garden Suburb from Willifield Way,1914,L,510,763
N06003,Camille Pissarro,A Corner of the Meadow at Eragny,1902,L,600,813
T03359,William Ratcliffe,Clarence Gardens,1912,L,570,762
N02997,Sir William Orpen,The Angler,1912,P,914,864
N00608,Sir Edwin Henry Landseer,Alexander and Diogenes,1848,O,1124,1429
N00481,Joseph Mallord William Turner,Spithead: Two Captured Danish Ships Entering Portsmouth Harbour,1807,L,1714,2337
T01960,Spencer Gore,The Cinder Path,1912,L,686,787
N00108,Richard Wilson,"Distant View of Maecenas’ Villa, Tivoli",1756,L,1219,1702
N06243,Sir Joshua Reynolds,Lady Anstruther,1761,P,1264,991
N01040,William James Müller,A Mountain Stream,1843,L,521,749
N00188,Sir Thomas Lawrence,Mrs Siddons,1804,P,2540,1480
N04703,Sir Gerald Kelly,The Jester (W. Somerset Maugham),1911,P,1016,762
N05212,Evelyn Dunbar,Winter Garden,1929,L,305,914
N00893,Sir Thomas Lawrence,Princess Lieven,1812,P,460,384
T00096,Harold Gilman,Edwardian Interior,1907,O,540,533
N05632,"Sir John Everett Millais, Bt","‘The Moon is Up, and Yet it is not Night’",1890,L,1041,1689
T03249,Robert Fagan,"Anna Maria Ferri, the Artist’s First Wife",1790,P,737,616
N05495,Joseph Mallord William Turner,Waves Breaking on a Shore,1835,L,464,606
N01403,Henry Robert Morland,A Laundry Maid Ironing,1765,P,743,616
T05757,Duncan Grant,Garden Path in Spring,1944,O,913,832
N01644,George Frederic Watts,Eve Repentant,1865,O,2591,1194
N06283,Joseph Mallord William Turner,Palestrina - Composition,1828,L,1403,2489
T00251,Jean Metzinger,Woman with a Coffee Pot,1919,O,1153,810
N04610,William McTaggart,The Emigrants,1883,L,946,1410
N05776,John Linnell,Kensington Gravel Pits,1811,L,711,1067
N05833,Camille Pissarro,"The Pilots’ Jetty, Le Havre, Morning, Cloudy and Misty Weather",1903,O,651,813
N03824,Sir George Clausen,"The Road, Winter Morning",1923,L,508,610
N04861,Gwen John,The Convalescent,1918,P,337,254
N03836,Vanessa Bell,Chrysanthemums,1920,O,610,457
T01455,John Rogers Herbert,Laborare est Orare,1862,L,972,1759
T07733,Cecil Collins,The Artist and his Wife,1939,P,1200,900
N00559,Joseph Mallord William Turner,Petworth Park: Tillington Church in the Distance,1828,O,600,1457
N00504,Joseph Mallord William Turner,"Forum Romanum, for Mr Soane’s Museum",1826,O,1457,2363
N01772,Ralph Peacock,The Sisters,1900,P,1675,1275
N04749,Henry Lamb,The Artist’s Wife,1933,P,635,762
T07058,Joanna Mary Wells,Portrait of Sidney Wells,1859,P,276,251
T07896,Sir Anthony Van Dyck,Portrait of Sir William Killigrew,1638,P,1052,841
T07433,Lisa Milroy,Girl with Sunglasses,1998,P,1070,1170
T07864,Johan Zoffany,"Three Daughters of John, 3rd Earl of Bute",1763,P,1012,1265
N04633,Frederic George Stephens,The Proposal (The Marquis and Griselda),1850,O,806,648
N01549,Albert Moore,Blossoms,1881,P,1473,464
T03902,John Constable,Ann Constable,1800,P,765,639
N03707,John Singer Sargent,"Hylda, Daughter of Asher and Mrs Wertheimer",1901,P,2146,1435
T05464,Mary Potter,Still Life,1959,O,1017,1829
T03542,Maggi Hambling,Max Wall and his Image,1981,P,1677,1219
N00501,Joseph Mallord William Turner,"Entrance of the Meuse: Orange-Merchant on the Bar, Going to Pieces; Brill Church bearing S. E. by S., Masensluys E. by S.",1819,L,1753,2464
N05260,"Sir John Everett Millais, Bt",Miss Eveleen Tennant,1874,P,1079,800
N05517,Joseph Mallord William Turner,Two Recumbent Nude Figures,1828,O,1746,2492
TW0360,Joseph Mallord William Turner,The Wreck Buoy,1807,L,927,1232
N03705,John Singer Sargent,Asher Wertheimer,1898,P,1473,978
T03792,Sir William Nicholson,"Harbour in Snow, La Rochelle",1938,L,353,454
T03982,Sir Godfrey Kneller,"John Smith, Speaker of the House of Commons",1707,P,2205,1565
T03068,Sir William Coldstream,On the Map,1937,O,508,508
N03393,John Brett,Lady with a Dove (Madame Loeser),1864,P,610,457
T00319,David Bomberg,"Study for ‘Sappers at Work: A Canadian Tunnelling Company, Hill 60, St Eloi’",1918,O,3042,2438
N04996,Albert Rutherston,Laundry Girls,1906,O,915,1170
N05050,Charles Ginner,The Café Royal,1911,O,635,483
N02659,John Constable,Trees at Hampstead,1829,L,924,740
T00662,Olwyn Bowey,Portrait Sketch of L.S. Lowry,1963,P,914,711
N01569,John Macallan Swan,The Prodigal Son,1888,O,1118,1575
N05288,Walter Richard Sickert,The Little Tea Party: Nina Hamnett and Roald Kristian,1915,O,254,356
N04726,Marie Laurencin,"Portraits (Marie Laurencin, Cecilia de Madrazo and the Dog Coco)",1915,P,330,460
T03208,Sir Lawrence Gowing,Portrait of Sir Norman Reid,1980,P,660,451
T05866,Lovis Corinth,Magdalen with Pearls in her Hair,1919,P,715,476
T03962,Frank Bramley,Primrose Day,1885,P,502,351
N05325,Dod Procter,The Orchard,1934,O,1016,1270
N04838,Dame Laura Knight,Spring,1916,L,1524,1829
N00525,Joseph Mallord William Turner,Bacchus and Ariadne,1840,O,787,787
N05799,Sir Joshua Reynolds,Suzanna Beckford,1756,P,1270,1022
T07434,Lisa Milroy,Room,1997,O,1750,1983
T12293,John Constable,The Glebe Farm,1830,L,490,620
N01396,George Romney,Mr and Mrs William Lindow,1772,P,1391,1143
T03431,Benjamin Marshall,"James Belcher, Bare-Knuckle Champion of England",1803,P,905,702
N01617,John Brett,Britannia’s Realm,1880,L,1054,2121
N01391,Frederick Walker,The Harbour of Refuge,1872,O,1168,1975
TW1368,Joseph Mallord William Turner,"High Street, Oxford",1810,L,685,1003
N04923,Ivon Hitchens,Winter Stage,1936,O,591,1556
T01998,Hilda Carline,Self-Portrait,1923,P,749,578
N03550,Joseph Mallord William Turner,"Music Party, East Cowes Castle",1835,O,1213,905
N05901,John Singer Sargent,Mrs Frederick Barnard,1885,P,1041,571
T01996,Winifred Nicholson,Moonlight and Lamplight,1937,O,762,889
N04958,James Bateman,Cattle Market,1937,O,914,1118
L02925,Sir Joshua Reynolds,Master Crewe as Henry VIII,1775,P,1390,1110
T03094,Adolph Gottlieb,The Alchemist,1945,O,711,908
N03137,Daniel Stringer,Portrait of the Artist,1776,P,845,683
N01557,John Robertson Reid,A Country Cricket Match,1878,O,1067,1816
N01626,Joseph Farquharson,The Joyless Winter Day,1883,O,1041,1803
N01648,David Farquharson,In a Fog,1897,L,1230,1840
T05572,Francis Barlow,Monkeys and Dogs Playing,1661,O,1055,1320
T00330,Philip Sutton,The Tree,1958,O,1372,1372
N00892,Sir Joshua Reynolds,Lesbia,1786,P,749,622
T12540,R.B. Kitaj,Erasmus Variations,1958,O,1049,842
T03364,Philip Guston,Black Sea,1977,O,1730,2970
N01580,William Lionel Wyllie,"Toil, Glitter, Grime and Wealth on a Flowing Tide",1883,L,1156,1651
N05091,Walter Richard Sickert,Woman Washing her Hair,1906,O,457,381
N03181,Walter Richard Sickert,George Moore,1890,P,603,502
N01600,John Robertson Reid,Toil and Pleasure,1879,L,991,1822
T11922,Alice Neel,Dominican Boys on 108th Street,1955,P,1063,1220
T05770,John Minton,Portrait of Kevin Maybury,1956,O,1294,988
N05447,Tristram Hillier,La Route des Alpes,1937,L,597,806
T03265,David Bomberg,Self-Portrait,1932,P,606,511
T04996,"Sir Cedric Morris, Bt",Landscape of Shame,1960,O,756,1002
N01631,George Frederic Watts,The Dweller in the Innermost,1885,O,1060,698
TW1072,Joseph Mallord William Turner,Self-Portrait at the Age of Sixteen,1791,P,520,420
N05439,Philip Wilson Steer,Boulogne Sands,1888,L,610,765
N04766,Sydney Starr,Study in Blue and Grey,1891,P,1905,1073
N02943,George Romney,Mrs Robert Trotter of Bush,1788,P,756,622
T14495,Joan Carlile,Portrait of an Unknown Lady,1650,P,1107,900
N01877,William Westall,The Commencement of the Deluge,1848,O,1270,1930
N04673,Walter Richard Sickert,Miss Gwen Ffrangcon-Davies as Isabella of France,1932,P,2451,921
N05247,John Singer Sargent,"Jean, Wife of Colonel Ian Hamilton",1896,P,1302,921
N03575,Joseph Highmore,IX: Pamela is Married,1743,O,628,760
T07704,André Fougeron,The Cock Fighters,1950,O,1298,1945
N06225,Roy De Maistre,Still Life: Fruit,1954,O,774,545
T03665,Richard Wilson,Westminster Bridge under Construction,1744,L,725,1460
N05964,James Abbott McNeill Whistler,Miss Agnes Mary Alexander,1873,P,1924,1016
TW0972,Joseph Mallord William Turner,"Raby Castle, the Seat of the Earl of Darlington",1818,L,1190,1806
TW1068,Joseph Mallord William Turner,"Bonneville, Savoy, with Mont Blanc",1803,L,915,1220
N01068,George Romney,A Lady in a Brown Dress: ‘The Parson’s Daughter’,1785,P,648,648
N04376,James Northcote,A Young Lady Playing the Harp,1814,P,1105,864
N05951,Ben Nicholson OM,"1928 (foothills, Cumberland)",1928,L,559,686
T07746,Malcolm Morley,Mariner,1998,O,2951,3748
T00579,Manolo Millares,Painting 150,1961,O,1308,1622
N01529,Andrew Carrick Gow,A Musical Story by Chopin,1879,O,698,902
T07050,Thomas Wade,Turf Cutters,1869,O,900,700
T01254,Maurice de Vlaminck,Landscape near Martigues,1913,L,651,819
N00518,Joseph Mallord William Turner,Heidelberg,1844,L,1321,2019
T12309,Judit Reigl,Guano,1958,O,2000,1529
N06079,Rodrigo Moynihan,Portrait Group,1951,O,2134,3346
T03232,"Sir Cedric Morris, Bt",David and Barbara Carr,1940,P,1003,746
N00557,Joseph Mallord William Turner,View of Richmond Hill and Bridge,1808,L,914,1219
N00312,George Romney,Lady Hamilton (?as a Figure in ‘Fortune Telling’),1782,P,495,400
N03954,Frederick Cayley Robinson,Pastoral,1923,L,903,1164
N03217,Lucy Kemp-Welch,Forward the Guns!,1917,O,1524,3061
T06521,Spencer Gore,Rule Britannia,1910,O,762,635
T06746,Thomas Gainsborough,"Peter Darnell Muilman, Charles Crokatt and William Keable in a Landscape",1750,O,765,642
T06498,Mary Fedden,The Etching Table,1971,O,762,917
N03517,Sir Hubert Von Herkomer,Sir Henry Tate,1897,P,1422,1118
N02212,Alfred Stevens,An Artist in his Studio,1840,P,600,476
T01047,Sir William Nicholson,The Hill above Harlech,1917,L,537,594
N01402,Henry Robert Morland,A Lady’s Maid Soaping Linen,1765,P,743,616
N00922,Sir Thomas Lawrence,Lady Georgiana Fane,1806,P,1426,1022
T03458,Gillian Ayres OBE,Antony and Cleopatra,1982,O,2893,2872
N05019,Annie Louisa Swynnerton,Miss Elizabeth Williamson on a Pony,1906,O,1682,1312
N04545,Annie Louisa Swynnerton,"Dame Millicent Fawcett, G.B.E., LL.D.",1889,P,827,740
T05762,Sir Stanley Spencer,"Farm Pond, Leonard Stanley",1940,L,610,914
N03865,Lucien Pissarro,"Almond Trees, Le Lavandou",1923,L,597,730
N05876,Albert Moore,The Toilette,1886,P,419,235
T03234,George Robert Lewis,"Harvest Field with Gleaners, Haywood, Herefordshire",1815,L,143,195
N05171,Duncan Grant,Girl at the Piano,1940,O,1175,1473
N04845,Manner of Thomas Gainsborough,Mrs Sarah Walker,1770,P,749,622
T00139,Carel Weight,Miss Orovida Pissarro,1956,P,914,711
T01474,Friedrich Vordemberge-Gildewart,Composition No. 15,1925,O,1499,1251
N05401,Sir Matthew Smith,Still Life,1936,O,806,997
T02101,Sir Matthew Smith,"Still Life with Clay Figure, I",1939,O,730,1162
T07105,John Singer Sargent,Portrait of Robert Mathias,1913,P,1017,760
T00551,Amédée Ozenfant,Glasses and Bottles,1922,O,727,603
T03649,William Evelyn Osborn,"Beach at Dusk, St Ives Harbour",1895,O,610,510
N05572,"Sir John Everett Millais, Bt",Mrs Bischoffsheim,1873,P,1364,918
T00767,Michel Larionov,Soldier on a Horse,1911,O,870,991
T14513,Augustus John OM,A Jamaican Girl,1937,P,452,438
N04593,Herbert Gurschner,The Annunciation,1929,O,1617,1911
N05100,Spencer Gore,Richmond Park,1914,L,692,946
T05561,John Glover,Thirlmere,1820,L,760,1012
T13032,Meredith Frampton,Sir Clive Forster-Cooper,1945,P,1078,1263
N00689,John Crome,"Mousehold Heath, Norwich",1818,L,1099,1810
N01246,John Constable,"The Grove, Hampstead",1821,O,356,302
N01919,Henry Tanworth Wells,Victoria Regina,1880,P,2451,1918
T03875,Joseph Mallord William Turner,The Forest of Bere,1808,L,890,1195
N01322,William Bell Scott,The Eve of the Deluge,1865,O,324,445
T03248,William Roberts,Trooping the Colour,1958,O,1829,2743
N00106,Sir Joshua Reynolds,A Man’s Head,1771,P,584,457
T02113,Roderic O’Conor,Yellow Landscape,1892,L,676,918
T01884,Arthur Devis,A Lady in Blue,1757,P,559,438
N04486,Sir George Clausen,Gleaners Coming Home,1904,O,927,1226
T01873,Richard Wilson,Rome: St Peter’s and the Vatican from the Janiculum,1753,L,1003,1391
T01063,Carel Weight,The Friends,1968,O,1524,2030
T13565,Bruce Turner,Pavlova,1912,O,516,619
N06244,Sir Joshua Reynolds,Lord and Lady Ashburton,1782,P,1295,1886
N04747,Lucien Pissarro,"April, Epping",1894,L,603,730
N05276,Charles Ginner,"Flask Walk, Hampstead, on Coronation Day",1937,O,610,508
TW0580,Joseph Mallord William Turner,"‘Now for the Painter’, (Rope.) Passengers Going on Board (‘Pas de Calais’)",1827,L,1743,2138
T00158,John Singer Sargent,Mrs Philip Leslie Agnew,1902,P,908,743
N04466,John Singer Sargent,Lady Fishing - Mrs Ormond,1889,P,1848,978
T07033,Victor Pasmore,The Gardens of Hammersmith No. 2,1949,O,765,969
N01663,William Hogarth,Mrs Salter,1741,P,762,635
L02458,Peter de Francia,The Bombing of Sakiet,1959,O,1898,3653
T03704,Sir William Coldstream,Seated Nude,1952,P,1067,707
N04669,Dame Ethel Walker,Miss Jean Werner Laurie,1927,P,610,508
N00554,Joseph Mallord William Turner,The Departure of the Fleet,1850,L,899,1203
TW0160,Joseph Mallord William Turner,Modern Rome - Campo Vaccino,1839,L,902,1220
N00546,Joseph Mallord William Turner,‘Hurrah! for the Whaler Erebus! Another Fish!’,1846,L,902,1206
AR00028,Gerhard Richter,Abstract Painting (Skin) (887-3),2004,O,2300,2049
N05037,John Nash,"The Moat, Grange Farm, Kimble",1922,L,762,508
T00922,Philip Mercier,A Music Party,1737,O,1026,1270
T00073,André Masson,The Red Lands and the Montagne Sainte Victoire,1948,O,966,765
T14776,Victor Man,Untitled (Connaissez-vous des Esseintes?),2015,P,1011,709
N01935,William Hogarth,"James Quin, Actor",1739,O,760,622
N06267,Attributed to Richard Wilson,"Lake, Ruin and Pine Trees",1765,L,686,889
N03182,Walter Richard Sickert,"Café des Tribunaux, Dieppe",1890,O,603,730
T00152,Victor Pasmore,Nude,1941,O,610,508
N04237,John Constable,"Branch Hill Pond, Hampstead Heath, with a Cart and Carters",1825,L,537,768
N03814,Joanna Mary Wells,Gretchen,1861,O,730,437
N02065,Joseph Mallord William Turner,"A Ship Aground, Yarmouth; Sample Study",1827,L,698,1359
T00124,John Singer Sargent,The Mountains of Moab,1905,L,654,1111
N05253,Victor Pasmore,Lamplight,1941,O,635,762
N05331,John Nash,A Suffolk Landscape,1936,L,770,975
T07697,Paul Maze,Whitehall in Winter,1920,O,610,737
N03643,Walter Greaves,Hammersmith Bridge on Boat-race Day,1862,O,914,1397
L02926,Sir Joshua Reynolds,Miss Crewe,1775,P,1370,1120
N06158,John Hamilton Mortimer,"George Thompson, his Wife and (?) his Sister-in-Law",1766,O,997,1260
